TITULO_ORIGINAL;PUBLICO;ANO_LANCAMENTO;CLASSIFICACAO;GENEROS;ATORES_PRINCIPAIS;DIRETORES;PRODUTORAS
THE INCREDIBLES 2;9711506;2018;L;Ação, Aventura, Animação, Família;Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Catherine Keener, Eli Fucile, Bob Odenkirk, Samuel L. Jackson, Michael Bird, Sophia Bush, Brad Bird, Phil LaMarr, Isabella Rossellini, Adam Gates, Jonathan Banks, John Ratzenberger, Bill Wise, Nicholas Bird, Paul Eiding, Barry Bostwick, Michael B. Johnson, Jere Burns, Adam Rodriguez, Kimberly Adair Clark, Maeve Andrews, Stephen Apostolina, Robin Atkin Downes, Kimberly Bailey, Sola Bamis, Steve Blum, Kelly Bonbright, Cathy Cavadini, June Christopher, Robert Clotworthy, David Cowgill, Wendy Cutler, Rebecca Davis, Debi Derryberry, Bryan Dluhy, Terri Douglas, Greg Dykstra, Ted Evans, Dave Fennoy, Jennifer Crystal Foley, Eddie Frierson, Grace Geller, Jean Gilpin, Jackie Gonneau, Richie Gordon, Karen Huie, Justine Huxley, Andrew Kishino, Jeff Lapensee, Patricia Lentz, Marcella Lentz-Pope, A.J. LoCascio, Yuri Lowenthal, Austin Madison, Scott Menville, Piotr Michael, Melanie Minichino, Max Mittelman, Kitty Newton, Teddy Newton, Jonathan Nichols-Navarro, Nina Ozier, Paul Pape, Jacqueline Pinol, Michael Ralph, Usher, Lynwood Robinson, Dennis Singletary, Alyson Stoner, Pepper Sweeney, Shane Sweet, Fred Tatasciore, Paula Tiso, Toya Turner, Diamond White, Scott Whyte, Wally Wingert, Matthew Wood, Joe Zieja, Noelle Zuber;Brad Bird;Pixar
JOKER;9488050;2019;16;Crime, Thriller, Drama;Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington, Hannah Gross, Frank Wood, Brian Tyree Henry, April Grace, Mick Szal, Carl Lundstedt, Michael Benz, Ben Warheit, Gary Gulman, Sam Morril, Chris Redd, Mandela Bellamy, Demetrius Dotson II, Greer Barnes, Ray Iannicelli, Bryan Callen, Peter Hans Benson, Vito Gerbino, Adam Quezada, Xavyer Ureña, Evan Rosado, Damian Emmanuel, Mike Troll, Jane Fergus, David Gibson, Tony D. Head, Jeff McCarthy, Kim Brockington, Troy Roberts, Lou Young, Michael-Scott Druckenmiller, Craig Austin, John Cenatiempo, Danny Schoch, Keith Buterbaugh, James Ciccone, Rich Campbell, Roger Squitero, Steven Elson, Graham Mabry, John Alldred, Alonzo Wright, Jack Wilkins, Richard Baratta, Mary Kate Malat, Adrienne Acevedo Lovette, Justin Theroux, Alissa Bourne, Jamaal Burcher, John Cashin, Jason John Cicalese, Brendan Patrick Connor, Blaise Corrigan, Dennis Jay Funny, James P. Harkins, Joseph Hernandez, Ben Heyman, Graham Maby, Jesse Schratz, Isabella Ferreira, Shade Rupe, Michael Lepre;Todd Phillips;Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films
MOANA 2;8999458;2024;L;Aventura, Animação, Comédia, Família, Fantasia;Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung, Rose Matafeo, David Fane, Awhimai Fraser, Khaleesi Lambert-Tsuda, Temuera Morrison, Nicole Scherzinger, Rachel House, Gerald Ramsey, Alan Tudyk, Jemaine Clement, Tofiga Fepulea'i, Jasmine Johnson, Tiana Johnson, Ata Maivia Johnson, Bryson Chun, Noemi Josefina Flores, Setarosa Tuitasi-Ledoux, Bentley Pupuhi-Fernandez;David G. Derrick Jr., Jason Hand, Dana Ledoux Miller;Walt Disney Animation Studios, Walt Disney Animation Studios
CAPTAIN MARVEL;8912389;2019;12;Ação, Aventura, Ficção científica;Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Clark Gregg, Rune Temte, Algenis Perez Soto, Mckenna Grace, Akira Akbar, Matthew Maher, Chuku Modu, Vik Sahay, Colin Ford, Kenneth Mitchell, Stephen A. Chang, Pete Ploszek, Matthew 'Spider' Kimmel, Stephen 'Cajun' Del Bagno, London Fuller, Azari Akbar, Mark Daugherty, Diana Toshiko, Barry Curtis, Emily Ozrey, Abigaille Ozrey, Marilyn Brett, Stan Lee, Robert Kazinsky, Nelson Franklin, Patrick Brennan, Patrick Gallagher, Ana Ayora, Lyonetta Flowers, Rufus Flowers, Sharon Blynn, Auden L. Ophuls, Harriet L. Ophuls, Matthew Bellows, Richard Zeringue, Duane Henry, Chris Evans, Scarlett Johansson, Don Cheadle, Mark Ruffalo, Kelly Sue DeConnick, Vinny O'Brien, Anthony Molinari;Ryan Fleck, Anna Boden;Marvel Studios
DESPICABLE ME 3;8806062;2017;L;Ação, Animação, Comédia, Família, Aventura;Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier, Nhev Scharrel, Pierre Coffin, Steve Coogan, Julie Andrews, Jenny Slate, Michael Beattie, Andy Nyman, Adrian Ciscato, Brian T. Delaney, Katia Saponenko, Ken Daurio, Jude Alpers, Cory Walls, Sophie M. Siadatpour, Lori Alan, Carlos Alazraqui, Kyle Balda, Bob Bergen, John Cygan, Bill Farmer, Danny Mann, Stephanie De Meautis, Bruno Dequier, Teresa Ganzel, Jess Harnell, John Kassir, Mona Marshall, Laraine Newman, Jan Rabson, Mindy Sterling, Tara Strong, Jim Ward, Gregg Berger, Chris Renaud, Matthew Wood;Kyle Balda, Pierre Coffin;Illumination, Universal Pictures
MINHA MÃE É UMA PEÇA 2;8793951;2016;12;Comédia;Paulo Gustavo, Rodrigo Pandolfo, Mariana Xavier, Patrícya Travassos, Alexandra Richter, Herson Capri, Samantha Schmütz, Suely Franco, Bruno Bebianno, Davi Goulart, Alessandro Anes, Malu Valle, Ilva Niño, Cláudio Mendes, Sérgio Stern, Bia Guedes, Marcos França, Nara Del Rey, Marco Miranda, Jorge Lucas, Diogo Camargos, Jana Figarella, Cleber Salgado, Andy Gercker, Luciana Vidal, Felipe Haiut, Jonas de Sá, Gustavo Novaes, Mariana Consoli, Leticia Cannavale, Felipe Hintze, Carla Andréa Gonçalves, Gustavo Merighi, Carla Prata, Nikolas Antunes, Eduardo Semerjian, Marcelo Szpektor, Cássio Pandolph, Hugo Possolo, André Mendes, Marcelo Ferrari, Saulo Segreto, Tainá Medeiros, David Herman, Tainã Santos, Gabriel Querino, Vander Rabelo, Elvis Fidelle, João Telles, Emanoel Tompson, Thiago, Dudu Pacheco, Fátima Bernardes, Jú Amaral, Déa Lúcia, Rhaisa Batista;César Rodrigues;Migdal Filmes, Globo Filmes, Downtown Filmes, Universal Pictures International, Paramount Pictures Brasil, DiamondBack, Agência Nacional do Cinema - ANCINE, Fundo Setorial do Audiovisual, FINEP/Ministério da Ciência, Tecnologia e Inovacão, Paris Filmes
JUSTICE LEAGUE;8479881;2017;12;Ação, Aventura, Ficção científica;Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Jeremy Irons, Diane Lane, Connie Nielsen, J.K. Simmons, Ciarán Hinds, Amber Heard, Joe Morton, Lisa Loven Kongsli, Ingvar E. Sigurðsson, David Thewlis, Sergi Constance, Julian Lewis Jones, Salome R. Gunnarsdottir, Ágústa Eva Erlendsdóttir, Björt Sigfinnsdóttir, Michael McElhatton, John Dagleish, Chris Courtenay, Heather Imbeah, Carla Turner, Lara Decaro, Serene Angus, Anna Burgess, Mia Burgess, Alison Chang, Constance Bole, Shahla Ayamah, Richard Clifford, Will Austin, Kobna Holdbrook-Smith, Rebecca C. Perfect, Francis Magee, Védís Vífilsdóttir, Snæfríður Rán Aðalsteins, Grace Cookey-Gam, Matthew Bates, Charlotte Comer, Doutzen Kroes, Brooke Ence, Hari James, Ann Ogbomo, Samantha Win, Marc McClure, Paul Foulds, Anthony Wise, Martin Troakes, Gianpiero Cognoli, Jérôme Pradon, Orion Lee, Oliver Gatz, Rachel Blenkiron, Lynne Anne Rodgers, Oliver Powell, Aurore Lauzeral, Frazer Hammill, JK. Glynn, Patrick Connolly, Ninaz Khodaiji, Rosa Escoda, Joe Reisig, Vaughn Johseph, Tara Ward, Jack Yang, Bruce Lester-Johnson, Peter Henderson, Yoni Roodner, Molly Shenker, Tomi May, Kasha Bajor, Dan Mersh, Nathan Wiley, Caitlin Burles, Melanie Gray, Katia Elizarova, Gemma Refoufi, Leila Reid, Suan-Li Ong, Tina Balthazar, Penny Lane, Stephanie Haymes-Roven, Kelly Burke, Keith Simpson, Gary A. Hecker, Holt McCallany, Billy Crudup, Eleanor Matsuura, Jesse Eisenberg, Joe Manganiello, Daniel Stisen, Robin Wright, Xenia Leblanc;Zack Snyder;Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, RatPac Entertainment, DC Films
AQUAMAN;8449550;2018;12;Ação, Aventura, Fantasia;Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman, Dolph Lundgren, Yahya Abdul-Mateen II, Temuera Morrison, Ludi Lin, Michael Beach, Randall Park, Graham McTavish, Leigh Whannell, Tainui Kirkwood, Tamor Kirkwood, Denzel Quirke, Kaan Guldur, Otis Dhanji, Kekoa Kekumano, Julie Andrews, John Rhys-Davies, Djimon Hounsou, Andrew Crawford, Sophia Forrest, Natalia Safran, Micah Ohlman, Jack Andrew, Frankie Creagh-Leslie, Sophia Emberson-Bain, Ilya Melnikoff, Hank Amos, Kyryl Koltsov, Patrick Cox, Luke Owen, Robert Longstreet, Devika Parikh, Sonny Le, Jon Fabian, Mabel Tamone, Rita Dinardo, Anthony Standish, Nicolette Bianca, Victor Leto, Vincent B. Gorce, Gabriella Petkova, Oriana Lacono, Pearl Grantham, Noa Tsuchiya, Alice Lanesbury, Nicolas Bosc, Joshua Levinson, Jordy Campbell, Braden Lewis;James Wan;The Safran Company, Warner Bros. Pictures, DC Films
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS;8306633;2022;14;Fantasia, Ação, Aventura;Benedict Cumberbatch, Xochitl Gomez, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Rachel McAdams, Jett Klyne, Julian Hilliard, Michael Stuhlbarg, Hayley Atwell, Anson Mount, Lashana Lynch, John Krasinski, Patrick Stewart, Charlize Theron, Sheila Atim, Adam Hugill, Bruce Campbell, Ross Marquand, Andy Bale, Ako Mitchell, Momo Yeung, Daniel Swain, Topo Wresniwiro, Eden Nathenson, Vinny Moli, Charlie Norton, Aliyah Camacho, Ruth Livier, Chess Lopez, David K.S. Tse, Yasmin Chadwick, Anthony Knight, Nuakai Aru, Victoria Grove, Joshua Peace, Nina Jalava, Joshmaine Joseph, Yenifer Molina, Kevin Dalton, Orphee Sidibe, Gregory Fung, Cecilia Appiah, Victoria Sterling, Jordan Alexandra, Bobbie Little, Gabriella Cooper-Parsons, André Layne, Michael Waldron, Bridget Hoffman, Scott Spiegel, Jessica Pennington, Andrew Morgado, Audrey Wasilewski, Christian Rummel, Richie Palmer, Stephen Samson, John King, Alan Leong, Ella Bardot, Ivan Moy, Sanj Surati;Sam Raimi;Marvel Studios, Kevin Feige Productions
THE FATE OF THE FURIOUS;8146005;2017;14;Ação, Crime, Thriller;Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Charlize Theron, Kurt Russell, Nathalie Emmanuel, Luke Evans, Elsa Pataky, Kristofer Hivju, Scott Eastwood, Corey Maher, Tego Calderon, Don Omar, Patrick St. Esprit, Eden Estrella, Janmarco Santiago, Oren Hawxhurst, Celestino Cornielle, Olek Krupa, Alexander Babara, Andre Pushkin, Roberts Jekabsons, Nick Gracer, Gary Weeks, Friday Chamberlain, Joe Fishel, Michael W. Broomer, Sam Hadid, Matthew Cornwell, Jason Rhymer, Jeremy Anderson, Peter Hansen, Todd Cole, Jordan Baumer, Scott Proctor, Carrie Lee Consolino, Madalyn Defler, Taylor Donaldson, Isabel Downing, Anna Duvall, Jaci Grace Edwards, Reese Edwards, Caylin Ingram, Caroline Kimmel, Katherine Kimmel, Jordan Price, Anna MacKenzie Rogers, Marina Lyn Serra, D66, James Ayoub, Carlos De La Hoz, Alejandro Bosch, Lisandra Delgado, Santiago Solis Chavez, Joyvan Guevara, Brenda Nuñez López, Anita Farmer Bergman, Karin Boesler, Apollo GT, Yassie Hawkes, Myrom Kingery, Gary Lavard, Helen Mirren, Pauline Nowakowski, Charles Poole, Oleg Prudius, William Cowboy Reed, Mark Salas, Ramona Schwalbach, Jon Komp Shin, Doug Stroup, Branislav R. Tatalović, Alan Tuskes, Zachary Vazquez, Gary Lee Vincent, Megan Marie Wilson, Yuliya Zelenskaya, Özcan Özdemir, Zac Henry, Tait Fletcher, Scott Hunter, Tyrone C. Wiggins, Mya Levels, Kim Evans;F. Gary Gray;Original Film, One Race, Universal Pictures
